LOCATION,BOS,ADDR_NUM,ST_NAME,ST_TYPE,ADDRESS,EAS_ADDRESS,CNN,PARCEL,ZIP,LAT_EAS,LONG_EAS,COORDINATES,BIKE_PARKING,PLACEMENT,RACKS,SPACES,MO_INST,YR_INSTALLED,INSTALLED_BY,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION
Bookshop West Portal ,,,,,80 WEST PORTAL AVE,,,,,,,"(37.740149, -122.466963)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Market & Rye,,,,,68 WEST PORTAL AVE,,,,,,,"(37.740248, -122.466846)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
?,,,,,62 WEST PORTAL AVE,,,,,,,"(37.740248, -122.466846)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Grateful Head ,,,,,103 WEST PORTAL AVE,,,,,,,"(37.739447, -122.466836)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Bursa,,,,,60 WEST PORTAL AVE,,,,,,,"(37.740363, -122.466748)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED ,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Daily Health Food & Deli,,,,,1235 09TH AVE,,,,,,,"(37.765269, -122.466727)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Jenny's Burgers,,,,,1233 09TH AVE,,,,,,,"(37.765269, -122.466727)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Gordo Taqueria,,,,,1239 09TH AVE,,,,,,,"(37.765201, -122.466722)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Marnee Thai,,,,,1243 09TH AVE,,,,,,,"(37.765132, -122.466717)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Transcendental Meditation,,,,,1245 09TH AVE,,,,,,,"(37.765064, -122.466712)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Vacation Rental Apartments by Golden Gate Park,,,,,1257 09TH AVE,,,,,,,"(37.764858, -122.466698)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
San Francisco Honda Ninth Avenue Service Center,,,,,1259 09TH AVE,,,,,,,"(37.764755, -122.466691)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Kate McIntyre State Farm,,,,,1215 09TH AVE,,,,,,,"(37.765653, -122.466601)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Park Gyros,,,,,1201 09TH AVE,,,,,,,"(37.765653, -122.466601)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Pierre's Auto Body ,,,,,1349 09TH AVE,,,,,,,"(37.763127, -122.466577)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Pilgrim Community Church,,,,,400 RANDOLPH ST,,,,,,,"(37.714524, -122.466563)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
West Portal Daily,,,,,36 WEST PORTAL AVE,,,,,,,"(37.740545, -122.466552)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
